AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code,TCAD ID,Council District,Kirwan Opportunity Index,Total Units,Total Affordable Units,Distance to High Freq. Transit,Unit Type,Housing Type,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Date Fee in Lieu Received,Fee in Lieu Status,Required Amount of Fee in Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,Funding,DDB,ERC,RNY,MDA,NBG,PUDDA,PUDDB,SMART,TOD,UNO,VMU,GO Bond 2006,GO Bond 2013,Location,Property Management Company,Phone Number,Website 
61,3349,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3350,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3351,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3352,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3353,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3354,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3355,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,1/4 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3356,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3357,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3358,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3359,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3360,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3361,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3362,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3363,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3364,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3365,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3366,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3367,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3368,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3369,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3370,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3371,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3372,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3373,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3374,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3375,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2014,2024,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
61,3376,Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2022,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78724
",,,
63,3378,AHFC - SF,Austin Housing Finance Corporation,Anderson Community Development Corporation,Undisclosed,78702,,1,Very Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2015,2114,99,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78702
",,,
91,3418,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
79,3398,Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,,2,Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2011,2047,36,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,No,No,No,No,No,No,"Undisclosed
Austin, Texas 78617
",,,
80,3399,Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,,2,Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2010,2040,30,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,No,No,No,No,No,No,"Undisclosed
Austin, Texas 78617
",,,
81,3400,Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78754,,1,Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2011,2047,36,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,No,No,No,No,No,No,"Undisclosed
Austin, Texas 78754
",,,
82,3401,Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,,2,Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2042,30,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,No,No,No,No,No,No,"Undisclosed
Austin, Texas 78617
",,,
83,3402,Westgate Grove (aka Westgate I Subdivision),"Westgate Momark, LLC",HomeBase Texas,Undisclosed,78745,575212,5,High,50,50,>1/2 Mile,Single Family,Ownership,Project Complete,,,99,,None,,0,0,0,0,0,50,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78745
",,,
84,3403,"Westgate Grove, Phase II (aka Westgate II Subdivision)","Westgate Momark, LLC",HomeBase Texas,Undisclosed,78745,,5,High,88,88,>1/2 Mile,Single Family,Ownership,Project Certified / Loan Executed,,,1,,None,,0,0,0,0,0,88,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78745
",,,
87,3406,Guadalupe Neighborhood Development Corporation - SF,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,,1,Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2013,2112,99,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"Undisclosed
Austin, Texas 78702
",,,
88,3407,Guadalupe Neighborhood Development Corporation - SF,Undisclosed,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,,3,Low,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2012,2111,99,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78702
",,,
90,3409,Meadow Lake Subdivision,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78744,,2,Low,60,60,1/2 Mile,Single Family,Ownership,Project Certified / Loan Executed,,,5,,None,,0,0,0,0,0,60,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78744
",,,
91,3410,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2010,2020,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3411,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2009,2019,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3412,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2009,2019,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3413,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2009,2019,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3414,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2010,2020,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3415,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2009,2019,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3416,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2010,2020,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3417,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2010,2020,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3419,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2009,2019,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3420,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,6,6,1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,6,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3421,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2010,2020,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3422,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2009,2019,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3423,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2013,2023,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3424,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2011,2021,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3425,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2009,2019,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
91,3426,Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,,1,Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2009,2019,10,,None,,0,0,0,0,0,1,0,A&D,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Undisclosed
Austin, Texas 78723
",,,
