Row Labels,Average of Median Sale Price,,Row Labels, Average of Median Sale Price ,,,Row Labels, Average of Median Sale Price ,Avg Growth,,,Row Labels, Average of Median Sale Price ,
2018,521833,,2018," $521,833 ",,,,,,,,,,
78757,311868,,78757," $311,868 ",81%,,,,,,,,,
2012,223600,,2012," $223,600 ",16%,,,,,,,,,
2013,258783,,2013," $258,783 ",12%,,,,,,,,,
2014,288650,,2014," $288,650 ",14%,,,,,,,,,
2015,328100,,2015," $328,100 ",10%,,,,,,,,,
2016,359283,,2016," $359,283 ",6%,,,,,,,,,
2017,382067,,2017," $382,067 ",6%,,,,,,,,,
2018,404050,,2018," $404,050 ",,,,,,,,,,
78758,212079,,78758," $212,079 ",87%,,,,,,,,,
2012,157125,,2012," $157,125 ",2%,,,,,,,,,
2013,160250,,2013," $160,250 ",11%,,,,,,,,,
2014,177500,,2014," $177,500 ",27%,,,,,,,,,
2015,225292,,2015," $225,292 ",18%,,,,,,,,,
2016,265750,,2016," $265,750 ",-2%,,,,,,,,,
2017,259250,,2017," $259,250 ",13%,,,,,,,,,
2018,294000,,2018," $294,000 ",,,,,,,,,,
78759,373333,,78759," $373,333 ",61%,,,,,,,,,
2012,276722,,2012," $276,722 ",14%,,,,,,,,,
2013,316361,,2013," $316,361 ",16%,,,,,,,,,
2014,365472,,2014," $365,472 ",5%,,,,,,,,,
2015,384611,,2015," $384,611 ",8%,,,,,,,,,
2016,415889,,2016," $415,889 ",10%,,,,,,,,,
2017,457056,,2017," $457,056 ",-3%,,,,,,,,,
2018,445000,,2018," $445,000 ",,,,,,,,,,
(blank),,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,
Grand Total,332570,,,,,,,,,,,,,
